"DRGKode";"DRGNavn";"Kostnadsvekt";"TrimpunktØvre";"ProsedyreinnholdsType";"DRGBasispoeng";"HDGKode";"ErGyldigForSekundærRehabilitering";"DRGTjenestetype";"DRG_CCNivå";"DRG_CCGruppe"
"252";"Brudd/forstuving/luksasjon av u.arm, hånd fot 0-17 år";0.652;2;"M";0.652;8;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"253";"Brudd/forstuving/luks av o.arm/u.ekstr ekskl fot >17 år m/bk";0.926;10;"M";0.926;8;0;"Ordinære innleggelser med overnatting";1;"253_254"
"254";"Brudd/forstuving/luks av o.arm/u.ekstr ekskl fot >17 år u/bk";0.593;6;"M";0.593;8;0;"Ordinære innleggelser med overnatting";0;"253_254"
"255";"Brudd/forstuving/luks av o.arm/u.ekstr ekskl fot 0-17 år";0.650;4;"M";0.650;8;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"256";"Sykdom i muskel-skjelettsystemet og bindevev ITAD";0.895;9;"M";0.895;8;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"257";"Total mastektomi ved ondartet svulst m/bk";1.530;6;"K";1.530;30;0;"Ordinære innleggelser med overnatting";1;"257_258"
"258";"Total mastektomi ved ondartet svulst u/bk";1.316;5;"K";1.316;30;0;"Ordinære innleggelser med overnatting";0;"257_258"
"259";"Annen mammaoperasjon ved ondartet svulst m/bk";1.101;5;"K";0.914;30;0;"Ordinære innleggelser med overnatting";1;"259_260"
"260";"Annen mammaoperasjon ved ondartet svulst u/bk";0.991;4;"K";0.804;30;0;"Ordinære innleggelser med overnatting";0;"259_260"
"261";"Mammaop ved godartede sykd ekskl biopsi/lokal eksisjon";1.308;3;"K";0.751;30;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"262";"Mammabiopsi og lokal eksisjon ved godartede sykdommer";0.729;2;"K";0.348;30;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"263";"Hudtransplant og/eller revisjoner ved sår/cellulitt m/bk";5.251;46;"K";5.251;9;0;"Ordinære innleggelser med overnatting";1;"263_264"
"264";"Hudtransplant og/eller revisjoner ved sår/cellulitt u/bk";2.642;16;"K";2.642;9;0;"Ordinære innleggelser med overnatting";0;"263_264"
"265";"Hudtranspl og/eller revisjoner, ekskl sår/cellulitt m/bk";2.568;20;"K";2.568;9;0;"Ordinære innleggelser med overnatting";1;"265_266"
"266";"Hudtranspl og/eller revisjoner, ekskl sår/cellulitt u/bk";1.412;8;"K";0.312;9;0;"Ordinære innleggelser med overnatting";0;"265_266"
"267";"Perianale inngrep og operasjoner for sakralcyste";0.902;5;"K";0.454;9;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"268";"Plastiske op på hud og underhud";1.815;13;"K";1.815;9;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"269";"Op på hud og underhud ITAD m/bk";2.675;22;"K";2.675;9;0;"Ordinære innleggelser med overnatting";1;"269_270"
"270";"Op på hud og underhud ITAD u/bk";1.159;9;"K";1.159;9;0;"Ordinære innleggelser med overnatting";0;"269_270"
"271";"Kroniske sår i huden";1.808;29;"M";1.808;9;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"272";"Alvorlig hudsykdom m/bk";1.939;21;"M";1.939;9;0;"Ordinære innleggelser med overnatting";1;"272_273"
"273";"Alvorlig hudsykdom u/bk";1.595;18;"M";1.595;9;0;"Ordinære innleggelser med overnatting";0;"272_273"
"274";"Ondartet sykdom i bryst m/bk";1.351;17;"M";1.351;30;0;"Ordinære innleggelser med overnatting";1;"274_275"
"275";"Ondartet sykdom i bryst u/bk";0.890;10;"M";0.890;30;0;"Ordinære innleggelser med overnatting";0;"274_275"
"276";"Godartet sykdom i bryst";0.686;6;"M";0.686;30;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"277";"Infeksjoner i hud og underhud >17 år m/bk";1.398;13;"M";1.398;9;0;"Ordinære innleggelser med overnatting";1;"277_278"
"278";"Infeksjoner i hud og underhud >17 år u/bk";0.836;7;"M";0.807;9;0;"Ordinære innleggelser med overnatting";0;"277_278"
"279";"Infeksjoner i hud og underhud 0-17 år";1.160;8;"M";1.160;9;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"280";"Skade av hud og underhud >17 år m/bk";0.762;7;"M";0.762;9;0;"Ordinære innleggelser med overnatting";1;"280_281"
"281";"Skade av hud og underhud >17 år u/bk";0.519;4;"M";0.519;9;0;"Ordinære innleggelser med overnatting";0;"280_281"
"282";"Skade av hud og underhud 0-17 år";0.570;3;"M";0.570;9;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"283";"Lettere hudsykdom m/bk";1.532;18;"M";1.532;9;0;"Ordinære innleggelser med overnatting";1;"283_284"
"284";"Lettere hudsykdom u/bk";0.999;12;"M";0.999;9;0;"Ordinære innleggelser med overnatting";0;"283_284"
"285";"Amputasjoner av underekstr pga sykdom i HDG 10";5.393;43;"K";5.393;10;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"286";"Operasjoner på binyrer og hypofyse";2.700;14;"K";2.700;10;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"289";"Operasjoner på biskjoldbruskkjertelen";1.297;6;"K";1.297;10;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"290";"Operasjoner på skjoldbruskkjertelen";1.507;5;"K";1.507;10;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"292";"Op ved sykdommer i HDG 10 ITAD m/bk";4.922;25;"K";4.922;10;0;"Ordinære innleggelser med overnatting";1;"292_293"
"293";"Op ved sykdommer i HDG 10 ITAD u/bk";2.770;9;"K";2.770;10;0;"Ordinære innleggelser med overnatting";0;"292_293"
"294";"Diabetes >35 år";1.103;9;"M";1.103;10;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"295";"Diabetes < 36 år";1.695;14;"M";1.695;10;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"296";"Ernærings- og stoffskiftesykdommer ITAD >17 år m/bk";1.173;12;"M";1.173;10;0;"Ordinære innleggelser med overnatting";1;"296_297"
"297";"Ernærings- og stoffskiftesykdommer ITAD >17 år u/bk";0.729;10;"M";0.729;10;0;"Ordinære innleggelser med overnatting";0;"296_297"
"298";"Ernærings- og stoffskiftesykdommer ITAD 0-17 år";1.010;12;"M";1.010;10;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"299";"Medfødte stoffskiftesykdommer";1.262;17;"M";1.262;10;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"300";"Indresekretoriske sykdommer m/bk";1.436;15;"M";1.436;10;0;"Ordinære innleggelser med overnatting";1;"300_301"
"301";"Indresekretoriske sykdommer u/bk";0.786;7;"M";0.786;10;0;"Ordinære innleggelser med overnatting";0;"300_301"
"302";"Nyretransplantasjon";11.080;30;"K";11.080;11;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"303";"Nyre/ureterop og større blæreop pga ondartet svulst";3.731;20;"K";3.731;11;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"304";"Nyre/ureterop og større blæreop ekskl onda svulst m/bk";3.213;20;"K";3.213;11;0;"Ordinære innleggelser med overnatting";1;"304_305"
"305";"Nyre/ureterop og større blæreop ekskl onda svulst u/bk";2.419;10;"K";2.419;11;0;"Ordinære innleggelser med overnatting";0;"304_305"
"308";"Operasjoner på urinblæren ITAD m/bk";1.445;11;"K";1.121;11;0;"Ordinære innleggelser med overnatting";1;"308_309"
"309";"Operasjoner på urinblæren ITAD u/bk";0.886;4;"K";0.562;11;0;"Ordinære innleggelser med overnatting";0;"308_309"
"310";"Transurethrale operasjoner ekskl på prostata m/bk";1.123;8;"K";1.042;11;0;"Ordinære innleggelser med overnatting";1;"310_311"
"311";"Transurethrale operasjoner ekskl på prostata u/bk";0.902;4;"K";0.821;11;0;"Ordinære innleggelser med overnatting";0;"310_311"
"312";"Operasjoner på urinrør >17 år m/bk";1.275;5;"K";1.275;11;0;"Ordinære innleggelser med overnatting";1;"312_313"
"313";"Operasjoner på urinrør >17 år u/bk";0.684;3;"K";0.432;11;0;"Ordinære innleggelser med overnatting";0;"312_313"
"314";"Operasjoner på urinrør 0-17 år";1.032;7;"K";1.032;11;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"315";"Operasjoner på nyrer og urinveier ITAD";2.015;18;"K";2.015;11;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"316";"Nyresvikt";1.604;20;"M";1.604;11;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"317";"Dialysebehandling";0.102;8;"M";0.102;11;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"318";"Svulster i nyrer og urinveier m/bk";1.313;15;"M";1.313;11;0;"Ordinære innleggelser med overnatting";1;"318_319"
"319";"Svulster i nyrer og urinveier u/bk";0.716;6;"M";0.716;11;0;"Ordinære innleggelser med overnatting";0;"318_319"
"320";"Infeksjoner i nyrer og urinveier >17 år m/bk";1.229;11;"M";1.229;11;0;"Ordinære innleggelser med overnatting";1;"320_321"
"321";"Infeksjoner i nyrer og urinveier >17 år u/bk";0.806;7;"M";0.779;11;0;"Ordinære innleggelser med overnatting";0;"320_321"
"322";"Infeksjoner i nyrer og urinveier 0-17 år";1.201;7;"M";1.160;11;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"323";"Stein i urinveiene m/bk og/eller ESWL behandling";0.877;7;"M";0.877;11;0;"Ordinære innleggelser med overnatting";1;"323_324"
"324";"Stein i urinveiene u/bk";0.590;4;"M";0.570;11;0;"Ordinære innleggelser med overnatting";0;"323_324"
"325";"Symptomer fra nyrer og urinveier >17 år m/bk";0.753;7;"M";0.753;11;0;"Ordinære innleggelser med overnatting";1;"325_326"
"326";"Symptomer fra nyrer og urinveier >17 år u/bk";0.583;5;"M";0.583;11;0;"Ordinære innleggelser med overnatting";0;"325_326"
"327";"Symptomer fra nyrer og urinveier 0-17 år";0.670;4;"M";0.670;11;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"331";"Sykdom i nyrer og urinveier ITAD >17 år m/bk";1.058;13;"M";1.058;11;0;"Ordinære innleggelser med overnatting";1;"331_332"
"332";"Sykdom i nyrer og urinveier ITAD >17 år u/bk";0.782;8;"M";0.782;11;0;"Ordinære innleggelser med overnatting";0;"331_332"
"333";"Sykdom i nyrer og urinveier ITAD 0-17 år";1.016;8;"M";1.016;11;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"334";"Større operasjoner i det mannlige bekken m/bk";2.300;9;"K";2.300;12;0;"Ordinære innleggelser med overnatting";1;"334_335"
"335";"Større operasjoner i det mannlige bekken u/bk";2.047;5;"K";2.047;12;0;"Ordinære innleggelser med overnatting";0;"334_335"
"336";"Transurethral prostatectomi m/bk";1.177;7;"K";1.177;12;0;"Ordinære innleggelser med overnatting";1;"336_337"
"337";"Transurethral prostatectomi u/bk";1.020;3;"K";1.002;12;0;"Ordinære innleggelser med overnatting";0;"336_337"
"338";"Op på skrotalinnhold ved ondartede sykdommer";1.074;5;"K";1.074;12;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"339";"Op på skrotalinnhold ved godartede sykd >17 år";0.966;6;"K";0.966;12;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"340";"Op på skrotalinnhold ved godartede sykd 0-17 år";0.901;2;"K";0.546;12;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"341";"Operasjoner på penis";1.555;8;"K";1.555;12;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"344";"Op på mannlige kjønnsorg ved ondartet svulst ITAD";1.422;9;"K";1.422;12;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"345";"Op på mannlige kjønnsorg ekskl ondartet svulst ITAD";0.921;4;"K";0.921;12;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"346";"Ondartede svulst i mannlige kjønnsorganer m/bk";1.291;15;"M";1.291;12;0;"Ordinære innleggelser med overnatting";1;"346_347"
"347";"Ondartede svulst i mannlige kjønnsorganer u/bk";0.843;9;"M";0.843;12;0;"Ordinære innleggelser med overnatting";0;"346_347"
"348";"Godartet hypertrofi av prostata m/bk";0.550;7;"M";0.550;12;0;"Ordinære innleggelser med overnatting";1;"348_349"
"349";"Godartet hypertrofi av prostata u/bk";0.550;4;"M";0.550;12;0;"Ordinære innleggelser med overnatting";0;"348_349"
"350";"Inflammasjon i mannlige kjønnsorganer";0.808;8;"M";0.808;12;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"351";"Sterilisering av menn";0.000;0;"K";0.000;12;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"352";"Sykdommer i mannlige kjønnsorganer  ITAD";0.472;4;"M";0.472;12;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"353";"Eksentrasjon av bekkenet, radikal hysterektomi og vulvektomi";3.304;21;"K";3.304;13;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"354";"Op på uterus/adn pga ikke ovar/adn malign sykd m/bk";2.583;14;"K";2.583;13;0;"Ordinære innleggelser med overnatting";1;"354_355"
"355";"Op på uterus/adn pga ikke ovar/adn malign sykd u/bk";1.641;5;"K";1.641;13;0;"Ordinære innleggelser med overnatting";0;"354_355"
"356";"Rekonstruktive gynekologiske inngrep";1.217;4;"K";1.043;13;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"357";"Op på uterus/adn ved ovar/adn malign sykdom";2.744;12;"K";2.744;13;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"358";"Op på uterus/adn ved godartede sykd m/bk";1.904;8;"K";1.904;13;0;"Ordinære innleggelser med overnatting";1;"358_359"
"359";"Op på uterus/adn ved godartede sykd u/bk";1.442;4;"K";0.733;13;0;"Ordinære innleggelser med overnatting";0;"358_359"
"360";"Operasjoner på vagina, cervix og vulva ekskl vulvektomi";1.075;8;"K";1.075;13;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"361";"Gynekologisk laparoskopi og sterilisering via laparotomi";1.128;5;"K";1.128;13;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"362";"Sterilisering via laparoskopi eller annen endoskopisk sterilisering";0.000;2;"K";0.000;13;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"363";"Utskraping og konisering ved ondartet sykdom";0.900;5;"K";0.900;13;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"364";"Utskraping og konisering ekskl ondartet sykdom";0.646;3;"K";0.126;13;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"365";"Operasjoner på kvinnelige kjønnsorganer ITAD";1.775;13;"K";1.775;13;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"366";"Ondartede svulster i kvinnelige kjønnsorganer m/bk";1.472;17;"M";1.472;13;0;"Ordinære innleggelser med overnatting";1;"366_367"
"367";"Ondartede svulster i kvinnelige kjønnsorganer u/bk";0.847;12;"M";0.847;13;0;"Ordinære innleggelser med overnatting";0;"366_367"
"368";"Infeksjoner i kvinnelige kjønnsorganer";0.927;8;"M";0.927;13;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"369";"Tilstander i kvinnelige kjønnsorganer ITAD";0.625;6;"M";0.604;13;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"370";"Keisersnitt m/bk";1.979;14;"K";1.979;14;0;"Ordinære innleggelser med overnatting";1;"370_371"
"371";"Keisersnitt u/bk";1.416;8;"K";1.416;14;0;"Ordinære innleggelser med overnatting";0;"370_371"
"372";"Vaginal fødsel m/bk";0.950;8;"M";0.950;14;0;"Ordinære innleggelser med overnatting";1;"372_373"
"373";"Vaginal fødsel u/bk";0.628;6;"M";0.628;14;0;"Ordinære innleggelser med overnatting";0;"372_373"
"374";"Vaginal fødsel m/sterilisering og/eller evakuering";1.406;8;"K";1.406;14;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"375";"Vaginal fødsel m/ op ekskl sterilisering og evakuering";1.358;15;"K";1.358;14;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"376";"Sykdommer etter forløsning og abort u/ operasjon";0.757;5;"M";0.757;14;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"379";"Truende abort";0.671;14;"M";0.671;14;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"380";"Abort uten kirurgisk inngrep og tilst etter abort";0.393;3;"M";0.393;14;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"381";"Spontan el medik utløst abort inkl revisjon";0.646;3;"K";0.360;14;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"382";"Falske rier";0.374;5;"M";0.374;14;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"383";"Sykdommer i svangerskapet ITAD m/bk";0.706;10;"M";0.706;14;0;"Ordinære innleggelser med overnatting";1;"383_384"
"384";"Sykdommer i svangerskapet ITAD u/bk";0.493;6;"M";0.493;14;0;"Ordinære innleggelser med overnatting";0;"383_384"
"390";"Nyfødt, fødselsvekt minst 2500 g, med annet signifikant problem";1.015;9;;1.015;15;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"391";"Frisk nyfødt";0.574;5;;0.574;15;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"392";"Op på milten pga sykdom i HDG 16 >17 år";6.175;24;"K";6.175;16;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"393";"Op på milten pga sykdom i HDG 16 0-17 år";2.535;9;"K";2.535;16;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"394";"Op pga sykdom i blod/bloddannende organer ITAD";1.979;18;"K";1.979;16;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"395";"Sykdommer i røde blodlegemer >17 år";1.015;11;"M";1.015;16;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"396";"Sykdommer i røde blodlegemer 0-17 år";1.604;12;"M";1.604;16;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"397";"Koagulasjonsforstyrrelser";1.045;11;"M";1.045;16;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"398";"Retikuloendoteliale og immunologiske sykd ITAD m/bk";1.111;13;"M";1.111;16;0;"Ordinære innleggelser med overnatting";1;"398_399"
"399";"Retikuloendoteliale og immunologiske sykd ITAD u/bk";0.876;7;"M";0.876;16;0;"Ordinære innleggelser med overnatting";0;"398_399"
"400";"Større operasjoner ved lymfom og leukemi";3.299;21;"K";3.299;17;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"401";"Op ved lymfom og ikke-akutt leukemi ITAD m/bk";3.887;40;"K";3.887;17;0;"Ordinære innleggelser med overnatting";1;"401_402"
"402";"Op ved lymfom og ikke-akutt leukemi ITAD u/bk";1.562;9;"K";1.562;17;0;"Ordinære innleggelser med overnatting";0;"401_402"
"403";"Lymfom og ikke-akutt leukemi m/bk";2.118;23;"M";2.118;17;0;"Ordinære innleggelser med overnatting";1;"403_404"
"404";"Lymfom og ikke-akutt leukemi u/bk";1.314;10;"M";1.314;17;0;"Ordinære innleggelser med overnatting";0;"403_404"
"405";"Akutt leukemi 0-17 år";2.659;25;"M";2.659;17;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"406";"Større op ved sykdommer i HDG 17 ekskl lymfom og leukemi m/bk";5.151;29;"K";5.151;17;0;"Ordinære innleggelser med overnatting";1;"406_407"
"407";"Større op ved sykdommer i HDG 17 ekskl lymfom og leukemi u/bk";3.421;12;"K";3.421;17;0;"Ordinære innleggelser med overnatting";0;"406_407"
"408";"Andre op ved sykdommer i HDG 17 ekskl lymfom og leukemi";1.804;14;"K";1.804;17;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"413";"Sykdommer i HDG 17 ITAD m/bk";1.788;20;"M";1.788;17;0;"Ordinære innleggelser med overnatting";1;"413_414"
"414";"Sykdommer i HDG 17 ITAD u/bk";0.892;8;"M";0.892;17;0;"Ordinære innleggelser med overnatting";0;"413_414"
"415";"Op ved sykdommer i HDG 18";4.446;35;"K";4.446;18;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"418";"Postop og posttraumatiske infeksjoner tilhørende HDG 18";1.242;14;"M";1.242;18;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"419";"Feber av ukjent årsak >17 år m/bk";1.295;10;"M";1.295;18;0;"Ordinære innleggelser med overnatting";1;"419_420"
"420";"Feber av ukjent årsak >17 år u/bk";0.706;7;"M";0.706;18;0;"Ordinære innleggelser med overnatting";0;"419_420"
"421";"Virussykdommer >17 år";0.850;9;"M";0.850;18;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"422";"Virussykdommer og feber av ukjent årsak 0-17 år";0.778;5;"M";0.778;18;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"423";"Sykdommer i HDG 18 ITAD";1.486;15;"M";1.486;18;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"439";"Hudtransplantasjon etter skade";4.566;33;"K";4.566;21;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"442";"Operasjoner etter skade ITAD m/bk";5.439;51;"K";5.439;21;1;"Ordinære innleggelser med overnatting";1;"442_443"
"443";"Operasjoner etter skade ITAD u/bk";1.686;9;"K";1.686;21;0;"Ordinære innleggelser med overnatting";0;"442_443"
"444";"Traume >17 år m/bk";1.221;12;"M";1.221;21;0;"Ordinære innleggelser med overnatting";1;"444_445"
"445";"Traume >17 år u/bk";0.696;5;"M";0.696;21;0;"Ordinære innleggelser med overnatting";0;"444_445"
"446";"Traume 0-17 år";0.718;3;"M";0.718;21;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"447";"Allergiske reaksjoner >17 år";0.495;4;"M";0.461;21;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"448";"Allergiske reaksjoner 0-17 år";0.392;3;"M";0.365;21;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"449";"Forgiftning inkludert toksisk effekt av legemiddel >17 m/bk";0.825;6;"M";0.768;21;0;"Ordinære innleggelser med overnatting";1;"449_450"
"450";"Forgiftning inkludert toksisk effekt av legemiddel >17 u/bk";0.540;3;"M";0.503;21;0;"Ordinære innleggelser med overnatting";0;"449_450"
"451";"Forgiftning inkludert toksisk effekt av legemiddel 0-17 år";0.540;2;"M";0.503;21;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"454";"Sykdommer i HDG 21 ITAD m/bk";1.043;10;"M";1.043;21;0;"Ordinære innleggelser med overnatting";1;"454_455"
"455";"Sykdommer i HDG 21 ITAD u/bk";0.394;2;"M";0.394;21;0;"Ordinære innleggelser med overnatting";0;"454_455"
"456";"Forbrenninger, overført til annen akuttenhet, liggetid < 6 dager";1.030;4;;1.030;22;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"457";"Omfattende forbrenninger uten operativ behandling";2.221;19;"M";2.221;22;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"458";"Mindre omfattende forbrenninger med hudtransplantasjon";4.732;33;"K";4.732;22;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"459";"Mindre omfattende forbrenninger med revisjon/annen operasjon";1.933;20;"K";1.933;22;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"460";"Mindre omfattende forbrenninger uten operativ behandling";0.792;12;"M";0.792;22;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"461";"Operasjoner på pasienter m/diagnose i HDG 23";1.827;16;"K";1.827;23;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"463";"Symptomer og funn m/bk";0.912;11;"M";0.912;23;0;"Ordinære innleggelser med overnatting";1;"463_464"
"464";"Symptomer og funn u/bk";0.631;6;"M";0.631;23;0;"Ordinære innleggelser med overnatting";0;"463_464"
"465";"Etterbehandling m/ondartet sykdom som bidiagnose";2.169;21;"M";2.169;23;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"466";"Etterbehandling u/ondartet sykdom som bidiagnose";1.023;14;"M";1.023;23;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"467";"Påvirkninger på helsetilstanden ITAD";0.503;5;"M";0.503;23;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"468";"Større op uten sammenheng med hoveddiagnosen";4.199;41;"K";4.199;99;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"470";"Ikke grupperbar pga manglende opplysninger";0.000;1;;0.000;99;0;"Feilgruppering";"Null";"Null"
"472";"Omfattende forbrenninger med operativ behandling";5.590;54;"K";5.590;22;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"473";"Akutt leukemi  >17 år";3.829;35;"M";3.829;17;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"477";"Mindre op uten sammenheng med hoveddiagnosen";2.552;21;"K";2.552;99;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"478";"Karkirurgisk operasjon ITAD m/bk";2.396;14;"K";2.396;5;0;"Ordinære innleggelser med overnatting";1;"478_479"
"479";"Karkirurgisk operasjon ITAD u/bk";1.631;6;"K";1.631;5;0;"Ordinære innleggelser med overnatting";0;"478_479"
"480";"Levertransplantasjon";32.586;88;"K";32.586;7;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"482";"Tracheostomi eller vevstransplantasjon ved sykdommer i ansikt, munnhule eller hals";8.872;67;"K";8.872;3;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"483";"Tracheostomi ekskl for sykd i ansikt, munnhule eller hals";24.996;108;"K";24.996;40;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"484";"Kraniotomi ved signifikant multitraume";10.909;57;"K";10.909;21;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"485";"Større op hofte/lårbensop og replantasjoner ved HDG 21";5.841;30;"K";5.841;21;1;"Ordinære innleggelser med overnatting";"Null";"Null"
"486";"Operasjoner ved signifikant multitraume ITAD";7.334;30;"K";7.334;21;1;"Ordinære innleggelser med overnatting";"Null";"Null"
"487";"Signifikant multitraume ITAD";2.425;30;"M";2.425;21;1;"Ordinære innleggelser med overnatting";"Null";"Null"
"489";"HIV m/ betydelig HIV relatert sykdom";3.297;30;"M";3.297;18;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"490";"HIV med eller uten bidiagnose";1.510;17;"M";1.510;18;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"491";"Proteseop og replantasjon i skulder/albue/håndledd";3.021;12;"K";3.021;8;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"493";"Endoskopisk eller laparoskopisk kolecystektomi u/ eksplor av gallegang m/bk";2.094;18;"K";2.094;7;0;"Ordinære innleggelser med overnatting";1;"493_494"
"494";"Endoskopisk eller laparoskopisk kolecystektomi u/ eksplor av gallegang u/bk";1.279;6;"K";1.030;7;0;"Ordinære innleggelser med overnatting";0;"493_494"
"495";"Lungetransplantasjon";23.197;64;"K";23.197;4;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"502";"Mastektomi med rekonstruksjon av bryst v/ondartet svulst";2.904;11;"K";2.904;30;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"509";"Andre operasjoner på bryst";0.934;4;"K";0.934;30;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"520";"Obstruktivt søvnapnesyndrom (OSAS)";0.176;3;"M";0.176;3;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"521";"Operativ korreksjon av obstruktivt søvnapnesyndrom (OSAS)";0.584;2;"K";0.197;3;0;"Ordinære innleggelser med overnatting";"Null";"Null"
530;"Større plastikkirurgi etter stort vekttap (inkl. postbariatrisk kirurgi)";2.901;4;"K";2.901;9;0;"Ordinære innleggelser med overnatting";"Null";"Null"
531;"Annen plastikkirurgi etter stort vekttap (inkl. postbariatrisk kirurgi)";1.451;4;"K";1.451;9;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"570";"Innsetting eller bytte av annet nevrologisk stimuleringsutstyr";3.080;13;"K";3.080;1;0;"Ordinære innleggelser med overnatting";"Null";"Null"
"104A";"Operasjoner på hjerteklaff u/bk";5.178;13;"K";5.178;5;0;"Ordinære innleggelser med overnatting";0;"104B_104A"
